Rno,Name,Gender,Maths,Physics,Chemistry
COL137,Karan Iyer,Female,9,47,33
COL103,Karan Gupta,Female,42,75,12
COL118,Ishani Reddy,Male,100,2,75
COL115,Deepak Kulkarni,Female,38,13,96
COL127,Aditi Reddy,Female,74,76,33
COL109,Pooja Joshi,Male,85,84,95
COL120,Arjun Verma,Male,35,49,13
COL127,Aditi Reddy,Female,74,76,33
COL104,Nikhil Reddy,Male,41,31,55
COL134,Bhavya Gupta,Male,69,51,4
COL109,Pooja Joshi,Male,85,84,95
COL105,Aarav Reddy,Female,76,90,68
COL119,Lakshmi Gupta,Male,76,74,78
COL133,Divya Iyer,Male,50,90,49
COL121,Nikhil Kulkarni,Male,67,54,95
COL101,Rahul Reddy,Male,30,6,63
COL116,Pooja Joshi,Female,95,43,91
COL139,Aditi Reddy,Male,59,36,10
COL129,Chaitanya Verma,Female,54,36,31
COL117,Arjun Malhotra,Male,65,66,41
COL122,Lakshmi Malhotra,Male,4,86,58
COL126,Pooja Sharma,Female,56,19,33
COL107,Rahul Gupta,Female,35,63,52
COL126,Pooja Sharma,Female,56,19,33
COL124,Arjun Kulkarni,Female,37,22,91
COL125,Lakshmi Iyer,Female,8,31,35
COL128,Ananya Sharma,Male,81,71,21
COL110,Meera Nair,Female,21,88,79
COL136,Karan Verma,Male,72,59,23
COL112,Divya Malhotra,Female,82,48,19
COL142,Aditi Iyer,Female,81,96,50
COL111,Lakshmi Reddy,Female,92,34,75
COL106,Aditi Gupta,Female,21,31,76
COL130,Aarav Nair,Female,5,53,40
COL135,Divya Nair,Female,31,82,91
COL144,Ananya Gupta,,40,24,13
COL114,Ananya Iyer,Female,85,27,7
COL102,Bhavya Joshi,Female,7,5,43
COL145,Rahul Nair,,95,3,14
COL114,Ananya Iyer,Female,85,27,7
COL138,Ananya Joshi,Female,26,23,45
COL140,Aarav Verma,Male,12,79,99
COL143,Sneha Nair,,93,91,49
COL132,Aditi Malhotra,Male,53,21,17
COL108,Deepak Gupta,Female,55,95,97
COL123,Arjun Sharma,Female,49,39,5
COL141,Chaitanya Malhotra,Female,5,18,98
COL113,Aarav Verma,Male,9,64,12
COL131,Pooja Reddy,Female,78,84,32
COL105,Aarav Reddy,Female,76,90,68
